gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Cfb,9.63701398971994,9.07528832416523,593.163076149293,5.13923503955229e-131,5.66960409563409e-127,796.214861550012
C3,7.27741373499825,8.30062586491268,580.366244372902,3.12187253770445e-128,1.72202489179777e-124,155.13858468278
Acod1,9.03978246941605,6.62743631004715,547.631961839527,4.12227200346973e-121,1.5158968247426e-117,526.314915127681
Gbp2,7.04784833369248,9.049404019202,546.133738339385,8.7310098577646e-121,2.40801251877148e-117,132.316423470185
Iigp1,7.6237108363489,7.99308487744595,528.648369305666,5.55909524988567e-117,1.22655877593477e-113,197.226669050919
Cxcl10,6.93271334711871,7.95910555432154,527.283671953681,1.10129472900426e-116,2.02491390839583e-113,122.167213672444
Oas2,6.17268577300891,7.4458622543349,511.787881903414,2.5895486661777e-113,4.08112869789605e-110,72.1379126281508
H2-Q7,6.47510032844427,9.22678786571749,511.141790219941,3.5792690560327e-113,4.93581202826909e-110,88.960952411005
Oasl2,6.55576340165053,8.46987900558822,505.483319140969,6.09429664766077e-112,7.47025340188818e-109,94.0765599450759
Il2rg,5.09485143479987,7.87234055108638,495.970905053009,7.15528706750095e-110,7.89371269286704e-107,34.1745736624707
Ifi204,6.14233018258487,8.67243278276075,471.932982096402,1.21657671171944e-104,1.22011584397171e-101,70.6359236125811
Tgtp2,6.6094746141252,8.56903573906095,467.01949148922,1.42676848823852e-103,1.31167583018728e-100,97.6450235352469
Gbp6,7.41753212027946,7.64330409752812,461.8995632277,1.85573232900315e-102,1.57480300412021e-99,170.962028430832
Zbp1,6.9109399249311,7.28512701228736,457.178317517728,1.97670641193736e-101,1.55764465260664e-98,120.337286868164
Ifi27l2a,5.96763755231242,8.62071779327954,443.148189824851,2.23503467746667e-98,1.64379350412082e-95,62.580338292641
Ifi205,10.5056137812103,8.0927492665319,433.913076016154,2.28673714268441e-96,1.5767052598809e-93,1453.80069120512
Ifi211,7.75711692516196,7.98333367540011,433.10756239689,3.423993653137e-96,2.22197046949455e-93,216.334046783209
Stat1,4.00276924054593,9.92048004826097,429.951367400175,1.66522501239188e-95,1.02059790759485e-92,16.0307413548698
Nlrc5,5.01824954927085,7.2202251844839,421.48985243092,1.15654788068523e-93,6.71528222090498e-91,32.4073589930461
Ccl7,6.39673326979526,6.29595072483616,411.522967340525,1.70850823683623e-91,9.42413143438867e-89,84.257503767213
Ifitm1,7.8531567719297,6.17119242083549,410.724173414117,2.5497221293475e-91,1.33945402528389e-88,231.225511590038
Ccl5,8.56827356675993,7.35846202839871,400.053170578084,5.36241088684936e-89,2.68900531380555e-86,379.583525083658
Rtp4,4.64103119574545,7.40591246826245,398.377119612789,1.24227310959765e-88,5.95858997612231e-86,24.9510944813085
Oas1a,5.47280282167786,7.58022342182581,394.56021608658,8.41641779676655e-88,3.86874671391369e-85,44.4096969606283
Plac8,6.46718150315626,8.52057380877195,390.287179808596,7.16733869170449e-87,3.16280321787536e-84,88.4739912890629
H2-Q6,6.13210039844596,8.68750655319604,389.328177753778,1.15913520319653e-86,4.91829983140927e-84,70.1368337681909
Sp100,4.6122462818896,7.57964606521894,385.545876982856,7.71897003052737e-86,3.1539139769177e-83,24.4581992252283
Ifi213,6.39308658723121,7.133118715693,376.242105959486,8.18699264368637e-84,3.22567510161243e-81,84.0447960507304
Isg15,6.41793380824183,7.04800396302848,374.886752297842,1.61515884885439e-83,6.14428704157297e-81,85.5048179120085
Irf7,6.53878534695804,9.31982403228326,366.303944876391,1.19385245398638e-81,4.39019342412592e-79,92.9759286128593
Ifi47,6.58088275191058,8.17653415964789,357.013649083778,1.2585217025242e-79,4.47871336201516e-77,95.7289083131877
Oasl1,7.78865379120015,7.22880556572454,355.152933691926,3.19917755251108e-79,1.1029164612282e-76,221.11510780698
Ifi206,8.11103146555294,6.90319869428804,354.590555927809,4.24130331559781e-79,1.41788055083864e-76,276.480029352593
Tap1,3.65235560682822,8.95830296548444,352.700472136468,1.09415765134292e-78,3.55021976753386e-76,12.573859188516
Fgl2,4.97559324951955,9.25649404041631,352.178265246458,1.42165963320203e-78,4.48107116385279e-76,31.4631944497302
Cd72,4.45469837955225,7.66916834204243,349.884164844423,4.49122035283697e-78,1.37630952590271e-75,21.9279399838284
Oas1g,7.75332380516438,6.07162353979337,348.31218002884,9.87845028573599e-78,2.94538009600647e-75,215.766010442399
Gbp4,6.89549427283925,7.62696319824865,345.023627125864,5.13850997892153e-77,1.49179058124901e-74,119.055814645533
Ifit2,6.35531154683316,9.13675881089525,342.474210613083,1.84517350907296e-76,5.21947542361357e-74,81.872755535064
Ifit3,5.89491662721047,9.02435624908488,342.049268100054,2.28339137441276e-76,6.29759341063038e-74,59.5040775102088
Cxcl9,8.51253055398623,6.10443371837914,336.29387251517,4.09272031841141e-75,1.10124123299304e-72,365.196860829207
H2-T22,3.51972437592613,7.65925792954706,335.925631825503,4.92278680768394e-75,1.29305200148498e-72,11.4694505586392
