gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Gpnmb,2.11253011757515,7.81375201410249,91.2733940348076,1.25131856591696e-21,1.3804546419196e-17,4.324490348076
Adgre4,-3.85921081928278,4.73123840360998,83.0193389035174,8.12545501289733e-20,4.48200098511417e-16,-14.5123657824652
Ifitm6,-3.33798344447656,4.50310061922678,81.9655234563581,1.38481361590951e-19,5.09242127023791e-16,-10.1119087486135
Hpgd,-2.81634508148368,6.05538445600222,77.1251241195999,1.60463033631525e-18,4.12695279051649e-15,-7.04375671909502
Slc2a5,-2.92602674302621,6.76332486702054,76.8223935638026,1.87044633362785e-18,4.12695279051649e-15,-7.60014394444609
Ceacam1,-1.84265458617044,5.20532480495252,72.9824547197306,1.30807528693734e-17,2.40511442758213e-14,-3.58669380020521
Spp1,3.38149342961434,8.21742061767739,72.4836554487704,1.68421071980992e-17,2.65431609442043e-14,10.4215172676016
Ace,-4.57170696491285,4.11730999409125,70.8862263704065,3.78430730140411e-17,5.21855976863627e-14,-23.7804970503071
Retnlg,-7.28472270370829,3.64772480136344,69.2804593676078,8.54116290168513e-17,1.04695676812656e-13,-155.92654067513
Kmo,-2.43901720178093,5.71680266410508,67.7234726523633,1.88110719985677e-16,2.07523746288199e-13,-5.42272196391297
Col27a1,-2.55323299153837,4.94635764847698,66.9518422122617,2.7822129055035e-16,2.79030661577406e-13,-5.86948120624921
Dpp4,-1.96009057868041,5.3166883185169,64.788436559793,8.33870614320931e-16,7.66605051432375e-13,-3.89086406737909
Siglecg,-2.45989903308715,4.2809426445278,58.1372764586082,2.44450124099627e-14,2.07444136082084e-11,-5.50178221723642
Abca9,-1.91309162481266,6.60506570354898,56.0054545936079,7.22702350908515e-14,5.6948945251591e-11,-3.7661530369928
Flt3,-2.66413507965964,4.56855008681125,54.9802699345088,1.21745849263573e-13,8.95400139383823e-11,-6.33847193128438
Hp,-2.64056164836217,4.71914223191467,54.0488830556076,1.95563248909301e-13,1.34840860122963e-10,-6.2357437709017
Csmd3,-3.39460186859353,3.95605591533615,52.5345802752064,4.22738878927156e-13,2.74332665430846e-10,-10.5166394708123
Arhgap26,-1.99711088337505,5.16405507940998,48.9508331249211,2.62459741429961e-12,1.60858659303074e-09,-3.99199768315478
Siglech,-2.55266233324789,8.13086954963104,48.7272018616163,2.94158115982874e-12,1.70797491343319e-09,-5.86715999098041
Itgae,-2.36199237971486,4.39261349829717,48.5671792438585,3.19166181196806e-12,1.76052065548158e-09,-5.14079819621683
Ch25h,1.95955648137174,7.54274434268964,48.3660405713737,3.53639611150812e-12,1.78757528749011e-09,3.88942390480092
S100a4,-2.42298128202588,4.25274159746616,48.3503640169999,3.56478030500203e-12,1.78757528749011e-09,-5.36278078748428
Cd209a,-2.7119140591984,6.24699152935833,48.0761950369535,4.09973741235824e-12,1.96644796231027e-09,-6.55190327683672
Adrb2,-1.46291675212783,6.7812735476383,47.2961922158116,6.1030660295226e-12,2.80537601823722e-09,-2.75665123423882
Upk1b,-4.33676589146536,3.61660728848418,45.306580490601,1.68482083824727e-11,7.43477739501755e-09,-20.2067569392666
