gene,log2FoldChange,logCPM,LR,pvalue,padj,FC
Cfb,9.35450015064293,7.87000535818843,1549.71333609756,0,0,654.613774826385
C4b,7.52588641541469,9.64309578412019,1842.80309604309,0,0,184.296698365718
H2-Aa,7.51501079517353,9.34670164964888,1945.70964834398,0,0,182.912618551764
H2-Q7,7.23440633220237,9.12285609474897,2353.4716159126,0,0,150.582085211511
Cst7,6.58695561774775,9.01551130123181,1820.8122509711,0,0,96.1327179063016
H2-Q6,6.29174172367079,8.33965055320232,1727.80607951083,0,0,78.3435025293452
Apoe,4.6529953793985,14.6878449466437,1963.63842655154,0,0,25.1588727706081
Lgals3bp,4.35818265291735,11.270404523294,2645.68135984768,0,0,20.5089631667578
H2-D1,3.71762181540794,12.2898088922381,2808.91023663765,0,0,13.1557520303046
H2-K1,3.60125866413511,11.8378541568923,3575.33361909691,0,0,12.1363161161655
Ctsb,2.30078799048459,13.7941462031013,1764.76068603644,0,0,4.92726815980805
H2-Eb1,6.74258714034381,8.56242676917655,1419.22462599074,1.39603786126987e-310,1.16336488439156e-307,107.083110436152
C3,8.1655715830349,8.49791613861863,1384.19601210366,5.71061803530342e-303,4.39278310407955e-300,287.132252705951
Cd74,6.86423055084239,10.9295326117592,1352.93140060317,3.55353767157841e-296,2.53824119398458e-293,116.503585927993
Itgax,4.77659730635454,8.24155969366483,1342.22478632875,7.53868129302444e-294,5.02578752868296e-291,27.4093708176661
Axl,3.67890051491097,9.50125348951339,1287.11444379188,7.13582937167795e-282,4.45989335729872e-279,12.8073537729946
Lilrb4a,4.99113057858507,8.64510029945059,1280.89114244136,1.60645295760453e-280,9.44972328002667e-278,31.8038734303034
P2ry12,-2.32559035213468,11.7755328002322,1252.36473214245,2.54203957315143e-274,1.41224420730635e-271,-5.01270853981088
Fn1,10.0146278160267,7.75586177237711,1249.55055580111,1.03934721287324e-273,5.47024848880653e-271,1034.43538492441
Il2rg,4.85742200993467,7.83822088312918,1201.38494212352,3.05009046558868e-263,1.52504523279434e-260,28.9887658652214
Gpnmb,11.5631620043546,7.5292246320341,1191.6732445763,3.93496262791292e-261,1.87379172757758e-258,3025.92812526813
Stat1,3.12196632468392,9.27634663767416,1153.77747972559,6.77496473904376e-253,3.07952942683807e-250,8.70573632212939
Lyz2,2.94433502077549,10.1675439894141,1132.0353870685,3.59969994699595e-248,1.5650869334765e-245,7.69720686521404
Selplg,-1.97054704439321,11.6608790157126,1100.18449187531,3.01152518593368e-241,1.2548021608057e-238,-3.91916698730519
Fgl2,4.25692777939845,8.13176215632363,1080.24998683844,6.47847282474936e-237,2.59138912989975e-234,19.1189021709481
Gbp6,8.4242805398978,6.93166071126462,999.011594151545,2.94516619483687e-219,1.13275622878341e-216,343.527203808688
Iigp1,10.9049734921703,6.86580162503602,966.559459474595,3.33547561080643e-212,1.23536133733572e-209,1917.45033152074
Cybb,5.35676266053333,8.04760882365257,956.89357895582,4.20973741911604e-210,1.5034776496843e-207,40.9775737389175
Tgtp2,6.67387404257265,6.99423856321694,942.176206591486,6.65963630350371e-207,2.296426311553e-204,102.102476041892
Spp1,5.22080792695099,8.87365363300666,936.301215891044,1.26050313127057e-205,4.20167710423523e-203,37.2923530963734
Cd300lf,5.54390195176988,7.01366064308365,934.619956478616,2.9242480588052e-205,9.43305825421033e-203,46.6531293812069
Pld3,2.61833850343562,9.7452786041563,908.525758394819,1.37541246942915e-199,4.29816396696611e-197,6.1404249594936
Ifit2,4.39976451436966,7.36687037253963,890.849130674061,9.57460807229187e-196,2.90139638554299e-193,21.1086808013842
B2m,2.29558669573288,12.3850393317832,882.309497431277,6.87964001898087e-194,2.02342353499437e-191,4.90953604691342
Gm49339,6.0645726129836,6.83310822847552,868.661628652549,6.37588143963911e-191,1.82168041132546e-188,66.9296058422315
Atp1a3,3.70920280594136,7.51727257134243,828.393738810453,3.6214639403662e-182,1.00596220565728e-179,13.0792037273662
Gbp2,6.0005971445781,7.54172452819431,809.688213622017,4.22361970433858e-178,1.14151883901043e-175,64.0264956641845
Oasl2,4.96768109222437,6.86123869050075,798.902014100367,9.34938894692885e-176,2.4603655123497e-173,31.2911134843331
Hcar2,4.34841494577085,7.06707959612555,797.813939906739,1.61194696005876e-175,4.133197333484e-173,20.3705770765667
Pkm,2.16905542885288,9.65919122939652,778.376289704123,2.71347211191574e-171,6.78368027978936e-169,4.49728847920657
Ccl5,7.98273170178088,6.4922681145826,766.408186204799,1.08573063347196e-168,2.64812349627306e-166,252.954080500382
Slc2a5,-3.0859980738664,8.51772394280412,751.240223594492,2.15641630728083e-165,5.13432454114483e-163,-8.49137433480722
Cd63,2.38534348821975,9.32459504290434,750.871048412372,2.59420584911564e-165,6.03303685840846e-163,5.22468293402594
Ftl1,1.99381058481131,11.3702254848899,745.675720460003,3.49670697814689e-164,7.9470613139702e-162,3.98287605587966
Tap1,2.95496235297423,8.49886762340628,744.916448804566,5.11391629031148e-164,1.13642584229144e-161,7.75411618972305
Fth1,1.89844847180289,11.4041806149479,740.307936008753,5.13834698009993e-163,1.11703195219564e-160,3.72812044932055
Lag3,1.87571256442498,10.1375452489118,729.436564257286,1.18772408294079e-160,2.5270725168953e-158,3.66982829758212
Irf7,4.00103255704124,6.98999297137466,721.001642647779,8.10688920151302e-159,1.68893525031521e-156,16.0114555229805
Hpgd,-3.4884844191803,8.40513320882071,686.387962580803,2.7275486085501e-151,5.5664257317349e-149,-11.2237620176038
Nlrc5,4.50341954007525,6.73384591247726,682.033751775991,2.41354414849173e-150,4.82708829698345e-148,22.6811131213937
Ifi204,3.26489800596643,7.36996352706248,669.375738912726,1.36572674133538e-147,2.67789557124585e-145,9.61240880491151
Csf1,4.1670865820969,6.99470129961826,664.69587462453,1.42266415501714e-146,2.7358926058022e-144,17.9646208520322
Ch25h,4.90960870511533,6.68213451282636,646.488463839071,1.2965947107343e-142,2.44640511459301e-140,30.05657477635
Cd36,6.38975266928279,6.32377584662304,640.231312885075,2.97599865615815e-141,5.51110862251509e-139,83.8508015192335
Cd83,1.75192077609561,9.91214114962863,630.960224249616,3.09016467267979e-139,5.61848122305417e-137,3.36806685591818
Tmem119,-1.73229716919614,11.7972403946274,579.185369895954,5.64000605286603e-128,1.00714393801179e-125,-3.32256441431405
